distance_nm,wind_speed_kts,wind_direction_deg,aircraft_heading_deg,altitude_ft,headwind_kts,crosswind_kts,ground_speed_kts,fuel_kg,time_min,co2_kg
2101.39,140.75,160.02,69.25,37000,-1.9,140.7,461.9,11533.0,273.0,36444.3
80.66,149.48,204.19,167.96,31000,120.6,88.3,339.4,621.3,14.3,1963.3
672.97,59.65,300.16,187.14,31000,-23.3,54.9,483.3,3475.9,83.5,10983.7
964.06,147.66,100.98,315.02,41000,-122.4,82.6,582.4,4062.1,99.3,12836.2
256.04,140.64,234.46,265.46,41000,120.5,72.5,339.5,2003.5,45.3,6331.1
299.89,119.53,79.12,270.61,37000,-117.1,23.8,577.1,1267.7,31.2,4005.9
667.57,145.27,301.47,313.55,29000,142.0,30.4,318.0,5515.2,126.0,17427.9
82.83,131.36,70.9,197.94,35000,-79.1,104.8,539.1,378.5,9.2,1195.9
1312.03,73.78,141.75,194.38,33000,44.8,58.6,415.2,8083.9,189.6,25545.2
432.25,70.92,322.54,286.71,29000,57.5,41.5,402.5,2746.6,64.4,8679.4
343.85,113.67,8.5,41.97,33000,94.8,62.7,365.2,2447.7,56.5,7734.7
649.91,117.68,340.3,275.96,41000,50.9,106.1,409.1,4128.1,95.3,13044.9
99.47,19.29,356.57,5.28,35000,19.1,2.9,440.9,574.0,13.5,1813.7
1861.55,130.78,42.46,219.43,41000,-130.6,6.9,590.6,7712.7,189.1,24372.1
1644.29,121.09,218.39,204.02,37000,117.3,30.0,342.7,12636.4,287.9,39930.9
183.7,33.21,104.99,99.09,35000,33.0,3.4,427.0,1099.6,25.8,3474.7
224.1,54.41,309.5,21.99,35000,16.4,51.9,443.6,1284.1,30.3,4057.8
377.56,62.21,211.33,154.69,29000,34.2,52.0,425.8,2250.9,53.2,7112.9
403.59,77.1,260.63,38.63,37000,-57.3,51.6,517.3,1942.0,46.8,6136.9
1199.92,8.5,335.32,243.18,35000,-0.3,8.5,460.3,6590.5,156.4,20826.0
2478.97,27.84,130.56,275.87,31000,-22.9,15.8,482.9,12817.2,308.0,40502.2
374.33,45.8,244.02,356.44,39000,-17.5,42.3,477.5,1984.5,47.0,6270.9
91.32,18.48,81.71,254.78,41000,-18.3,2.2,478.3,485.0,11.5,1532.7
1166.13,116.87,230.72,137.04,29000,-7.5,116.6,467.5,6246.8,149.7,19739.9
114.92,85.13,27.19,42.78,31000,82.0,22.9,378.0,785.2,18.2,2481.3
241.55,53.94,158.8,39.19,37000,-26.7,46.9,486.7,1248.1,29.8,3944.0
271.86,97.83,313.85,49.29,33000,-9.3,97.4,469.3,1456.4,34.8,4602.3
331.97,125.5,257.71,63.97,31000,-121.9,29.8,581.9,1378.0,34.2,4354.6
154.79,43.76,177.52,46.33,41000,-28.8,32.9,488.8,801.7,19.0,2533.4
99.34,91.95,269.02,83.1,41000,-91.5,9.5,551.5,446.7,10.8,1411.5
910.24,124.43,270.34,46.15,35000,-89.2,86.7,549.2,4068.8,99.4,12857.3
315.69,25.58,314.08,25.41,35000,8.2,24.2,451.8,1771.5,41.9,5597.9
852.96,67.09,40.5,109.3,35000,24.3,62.5,435.7,4988.7,117.4,15764.2
100.05,13.99,134.38,121.35,33000,13.6,3.2,446.4,567.7,13.4,1793.9
1319.67,125.28,28.12,61.92,33000,104.1,69.7,355.9,9667.3,222.5,30548.6
2142.65,127.04,124.56,18.39,35000,-35.4,122.0,495.4,10810.5,259.5,34161.2
168.2,44.08,159.09,242.51,29000,5.1,43.8,454.9,929.7,22.2,2937.9
323.34,37.77,110.68,150.38,33000,29.1,24.1,430.9,1909.8,45.0,6035.1
450.99,97.05,228.59,343.49,31000,-40.9,88.0,500.9,2234.9,54.0,7062.3
1596.52,26.66,39.14,247.86,29000,-23.4,12.8,483.4,8228.5,198.2,26001.9
204.93,23.99,288.66,312.86,31000,21.9,9.8,438.1,1185.0,28.1,3744.7
779.07,137.0,246.3,247.78,41000,137.0,3.5,323.0,6438.9,144.7,20347.1
452.6,59.61,240.05,50.81,31000,-58.8,9.6,518.8,2152.3,52.3,6801.2
1351.63,52.37,284.77,337.07,35000,32.0,41.4,428.0,8069.1,189.5,25498.3
312.57,71.15,205.88,16.07,41000,-70.1,12.1,530.1,1472.5,35.4,4653.1
171.61,115.99,319.46,199.11,41000,-58.6,100.1,518.6,829.6,19.9,2621.4
221.09,138.78,199.57,88.61,31000,-49.6,129.6,509.6,1073.6,26.0,3392.6
149.22,127.74,283.9,320.22,37000,102.9,75.7,357.1,1095.6,25.1,3462.1
403.56,77.03,180.09,52.88,41000,-46.6,61.4,506.6,2005.1,47.8,6336.1
1320.77,126.01,137.84,340.68,37000,-116.1,48.9,576.1,5594.9,137.5,17679.8
742.43,124.95,263.25,148.71,33000,-51.9,113.7,511.9,3595.1,87.0,11360.4
1968.67,110.3,318.86,309.27,33000,108.8,18.4,351.2,14634.0,336.3,46243.4
402.89,73.39,23.33,100.08,29000,16.8,71.4,443.2,2294.8,54.5,7251.6
